index=0,user_id=50406.0,Time Difference,Weight,Shopping Cart,Search,Shop,Coupon,Review,Publisher
http://www.byrdie.com/what-workout-should-i-do?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+november+9+2016+kim+foundation,11/10/2016,2,5,0,0,0,0,0,1
http://www.byrdie.com/weird-beauty-google-searches?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+november+9+2016+kim+foundation,11/10/2016,2,5,0,0,0,0,0,1
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+26+2016+body+changes,11/10/2016,2,5,0,0,0,0,0,1
http://www.byrdie.com/what-workout-should-i-do?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+november+9+2016+kim+foundation,11/10/2016,2,5,0,0,0,0,0,1
http://www.byrdie.com/quick-skincare-tips?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+november+9+2016+kim+foundation,11/10/2016,2,5,0,0,0,0,0,1
http://www.byrdie.com/updos-for-short-hair?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+november+9+2016+kim+foundation,11/10/2016,2,5,0,0,0,0,0,1
http://www.byrdie.com/november-nail-horoscope-2016?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+november+9+2016+kim+foundation,11/10/2016,2,5,0,0,0,0,0,1
http://www.byrdie.com/weird-beauty-google-searches?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+november+9+2016+kim+foundation,11/10/2016,2,5,0,0,0,0,0,1
https://www.buzzfeed.com/sallytamarkin/some-of-my-best-foods-are-processed?utm_term=.wcbke4wz1&utm_medium=email&utm_campaign=health%20%20beauty%20112&utm_content=health%20%20beauty%20112+cid_9fae844256d9cbad3ca78ccd39672f68&utm_source=buzzfeed%20newsletters#.ds01qdpbw,11/10/2016,2,5,0,0,0,0,0,1
https://www.buzzfeed.com/tolanishoneye/men-tell-us-what-its-really-like-to-be-black?utm_term=.sgj869lzj#.val9lxq4m,11/10/2016,2,5,0,0,0,0,0,1
http://www.byrdie.com/how-to-tone-up-fast?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+october+6+2016+clearer+skin,11/10/2016,2,5,0,0,0,0,0,1
http://www.byrdie.com/weird-beauty-google-searches?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+november+9+2016+kim+foundation,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/what-workout-should-i-do?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+november+9+2016+kim+foundation,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/updos-for-short-hair?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+november+9+2016+kim+foundation,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/november-nail-horoscope-2016?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+november+9+2016+kim+foundation,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/quick-skincare-tips?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+november+9+2016+kim+foundation,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+26+2016+body+changes,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+26+2016+body+changes,11/9/2016,3,4,0,0,0,0,0,1
https://www.buzzfeed.com/essencegant/beauty-advice-not-about-makeup?utm_term=.lyd8b2zdq&utm_medium=email&utm_campaign=health%20%20beauty%20119&utm_content=health%20%20beauty%20119+cid_65007ab53d2b217487f1b3a47dde5455&utm_source=buzzfeed%20newsletters#.fyzo7zn8w,11/9/2016,3,4,0,0,0,0,0,1
https://www.buzzfeed.com/essencegant/beauty-advice-not-about-makeup?utm_term=.lyd8b2zdq&utm_medium=email&utm_campaign=health%20%20beauty%20119&utm_content=health%20%20beauty%20119+cid_65007ab53d2b217487f1b3a47dde5455&utm_source=buzzfeed%20newsletters#.fyzo7zn8w,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+26+2016+body+changes,11/9/2016,3,4,0,0,0,0,0,1
http://www.elle.com/beauty/makeup-skin-care/news/a39328/nyx-lipstick-vault/?mag=elm&list=nl_elm_news&src=nl&date=091816,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+26+2016+body+changes,11/9/2016,3,4,0,0,0,0,0,1
http://www.refinery29.com/best-generic-brands-beauty-products?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide-9,11/9/2016,3,4,0,0,0,0,0,1
http://www.refinery29.com/best-generic-brands-beauty-products?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide,11/9/2016,3,4,0,0,0,0,0,1
http://www.refinery29.com/ruffle-clothing-accessoires-fall-trend?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide,11/9/2016,3,4,0,0,0,0,0,1
http://www.refinery29.com/ruffle-clothing-accessoires-fall-trend?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide,11/9/2016,3,4,0,0,0,0,0,1
http://www.refinery29.com/ruffle-clothing-accessoires-fall-trend?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide,11/9/2016,3,4,0,0,0,0,0,1
http://www.elle.com/beauty/makeup-skin-care/news/a39328/nyx-lipstick-vault/?mag=elm&list=nl_elm_news&src=nl&date=091816,11/9/2016,3,4,0,0,0,0,0,1
http://www.refinery29.com/ruffle-clothing-accessoires-fall-trend?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide,11/9/2016,3,4,0,0,0,0,0,1
http://www.refinery29.com/best-generic-brands-beauty-products?utm_content=shops&utm_medium=editorial&utm_campaign=160918-best-generic-brands-beauty-products&utm_source=email#slide,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+26+2016+body+changes,11/9/2016,3,4,0,0,0,0,0,1
http://www.refinery29.com/ole-henriksen-sugar-polishing-mask-review?utm_content=everywhere&utm_medium=editorial&utm_campaign=160918-emmys-2016-best-dressed-red-carpet-photos&utm_source=email,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+26+2016+body+changes,11/9/2016,3,4,0,0,0,0,0,1
http://www.refinery29.com/ole-henriksen-sugar-polishing-mask-review?utm_content=everywhere&utm_medium=editorial&utm_campaign=160918-emmys-2016-best-dressed-red-carpet-photos&utm_source=email,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+26+2016+body+changes,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/global-beauty-tips?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+19+2016+arms+like+rhw,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+26+2016+body+changes,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/global-beauty-tips?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+19+2016+arms+like+rhw,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+26+2016+body+changes,11/9/2016,3,4,0,0,0,0,0,1
http://www.refinery29.com/2016/09/123996/sarah-hyland-ariel-winter-modern-family-kids?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email,11/9/2016,3,4,0,0,0,0,0,1
http://www.refinery29.com/keds-new-fall-sneakers-colorful-collection?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email#slide,11/9/2016,3,4,0,0,0,0,0,1
http://www.refinery29.com/2016/09/122362/uber-hacks-spotify-tips?utm_content=everywhere&utm_medium=editorial&utm_campaign=160923-kim-kardashian-app-makeup-routine&utm_source=email#slide,11/9/2016,3,4,0,0,0,0,0,1
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=byrdie+september+26+2016+body+changes,11/9/2016,3,4,0,0,0,0,0,1
http://www.goodhousekeeping.com/beauty/makeup/g3024/ways-to-wear-eyeliner-trends-2016/?mag=bea&list=nl_bew_news&src=nl&date=092316,11/9/2016,3,4,0,0,0,0,0,1
