index=0,user_id=50644,Time Difference,Weight
https://www.yelp.com/search?find_desc=accessories&start=30&l=g:-73.98289918899536,40.730314137569884,-73.9893364906311,40.72543584099932,2016-12-05,0,7
http://www.refinery29.com/warm-dressy-coats?utm_source=email&utm_medium=editorial&utm_content=shops&utm_campaign=161204-warm-dressy-coats#slide,2016-12-05,0,7
http://www.purewow.com/tech/how-to-get-more-Instagram-likes?utm_medium=email&utm_source=national&utm_campaign=19823&utm_content=Food_editorial,2016-12-05,0,7
http://www.wellandgood.com/good-advice/meditate-in-the-a-m-heres-why-you-should-do-it-in-a-group/,2016-12-05,0,7
http://www.wellandgood.com/good-advice/meditate-in-the-a-m-heres-why-you-should-do-it-in-a-group/,2016-12-05,0,7
http://www.refinery29.com/chanel-black-tinted-top-coat-review?utm_source=email&utm_medium=editorial&utm_content=everywhere&utm_campaign=161204-female-masturbation-techniques,2016-12-05,0,7
http://www.purewow.com/tech/how-to-get-more-Instagram-likes?utm_medium=email&utm_source=national&utm_campaign=19823&utm_content=Food_editorial,2016-12-05,0,7
http://www.refinery29.com/chanel-black-tinted-top-coat-review?utm_source=email&utm_medium=editorial&utm_content=everywhere&utm_campaign=161204-female-masturbation-techniques,2016-12-05,0,7
https://www.yelp.com/biz/fabulous-fannys-new-york,2016-12-05,0,7
http://www.sephora.com/high-precision-lip-pencil-P410515?skuId=1855824&icid2=products%20grid:p410515,2016-12-05,0,7
https://www.yelp.com/nyc,2016-12-05,0,7
https://www.yelp.com/biz/creperie-beau-monde-philadelphia-2?q=gluten,2016-12-02,3,4
https://www.yelp.com/biz/creperie-beau-monde-philadelphia-2?q=gluten,2016-12-02,3,4
https://www.yelp.com/biz/creperie-beau-monde-philadelphia-2?q=gluten,2016-12-02,3,4
https://www.yelp.com/biz_redir?url=http%3A%2F%2Fwww.creperie-beaumonde.com&website_link_type=website&src_bizid=_tt4nysrN8JpzLLVXL-z5A&cachebuster=1480703056&s=ad224fed139f09532ef05b11b9f768f1ccbf90fdaa44695fb5ec77d2ae3231cf,2016-12-02,3,4
https://www.yelp.com/biz/creperie-beau-monde-philadelphia-2,2016-12-02,3,4
https://www.yelp.com/biz_redir?url=http%3A%2F%2Fwww.creperie-beaumonde.com&website_link_type=website&src_bizid=_tt4nysrN8JpzLLVXL-z5A&cachebuster=1480703056&s=ad224fed139f09532ef05b11b9f768f1ccbf90fdaa44695fb5ec77d2ae3231cf,2016-12-02,3,4
https://www.yelp.com/map/creperie-beau-monde-philadelphia-2,2016-12-02,3,4
https://www.yelp.com/search?cflt=creperies&find_loc=Philadelphia%2C+PA%2C+USA,2016-12-02,3,4
https://www.yelp.com/search?cflt=creperies&find_loc=Philadelphia%2C+PA%2C+USA,2016-12-02,3,4
https://www.yelp.com/c/philadelphia/creperies,2016-12-02,3,4
https://www.yelp.com/biz_photos/noord-philadelphia?select=b0T1xjZlZ-r3KnfvlIEJaA,2016-12-02,3,4
https://www.yelp.com/biz_photos/noord-philadelphia?select=b0T1xjZlZ-r3KnfvlIEJaA,2016-12-02,3,4
https://www.yelp.com/nyc,2016-12-02,3,4
