index=0	user_id=50406.0	Time Difference	Weight	
http://www.byrdie.com/what-workout-should-i-do?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+9+2016+Kim+Foundation	11/10/2016	2	5	
http://www.byrdie.com/quick-skincare-tips?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+9+2016+Kim+Foundation	11/10/2016	2	5	
http://www.byrdie.com/updos-for-short-hair?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+9+2016+Kim+Foundation	11/10/2016	2	5	
http://www.byrdie.com/november-nail-horoscope-2016?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+9+2016+Kim+Foundation	11/10/2016	2	5	
http://www.byrdie.com/weird-beauty-google-searches?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+9+2016+Kim+Foundation	11/10/2016	2	5	
https://www.buzzfeed.com/sallytamarkin/some-of-my-best-foods-are-processed?utm_term=.wcBkE4wZ1&utm_medium=email&utm_campaign=Health%20%20Beauty%20112&utm_content=Health%20%20Beauty%20112+CID_9fae844256d9cbad3ca78ccd39672f68&utm_source=BuzzFeed%20Newsletters#.ds01QdpBw	11/10/2016	2	5	
https://www.buzzfeed.com/tolanishoneye/men-tell-us-what-its-really-like-to-be-black?utm_term=.sgJ869Lzj#.vaL9lxQ4m	11/10/2016	2	5	
http://www.byrdie.com/how-to-tone-up-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+October+6+2016+Clearer+Skin	11/10/2016	2	5	
http://www.byrdie.com/weird-beauty-google-searches?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+9+2016+Kim+Foundation	11/9/2016	3	4	
http://www.byrdie.com/what-workout-should-i-do?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+9+2016+Kim+Foundation	11/9/2016	3	4	
http://www.byrdie.com/updos-for-short-hair?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+9+2016+Kim+Foundation	11/9/2016	3	4	
http://www.byrdie.com/november-nail-horoscope-2016?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+9+2016+Kim+Foundation	11/9/2016	3	4	
http://www.byrdie.com/quick-skincare-tips?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+November+9+2016+Kim+Foundation	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
http://www.byrdie.com/lose-weight-fast?utm_source=newsletter&utm_medium=email&utm_campaign=Byrdie+September+26+2016+Body+Changes	11/9/2016	3	4	
https://www.buzzfeed.com/essencegant/beauty-advice-not-about-makeup?utm_term=.lyd8B2ZDQ&utm_medium=email&utm_campaign=Health%20%20Beauty%20119&utm_content=Health%20%20Beauty%20119+CID_65007ab53d2b217487f1b3a47dde5455&utm_source=BuzzFeed%20Newsletters#.fyzO7zn8W	11/9/2016	3	4	
