index=27,user_id=992.0,Time Difference,Weight,0,0,0,0,0,0
http://www.sephora.com/affiliates.jsp?site=linkshare&url=http%3a%2f%2fwww.sephora.com%2f%3fom_mmc%3daff-linkshare-redirect-ndqa3okziiq%26c3ch%3dlinkshare%26c3nid%3dndqa3okziiq%26affid%3dndqa3okziiq-wiomqqfd2qafsu4csg5kjg%26raneaid%3dndqa3okziiq%26ranmid%3d2417%26ransiteid%3dndqa3okziiq-wiomqqfd2qafsu4csg5kjg%26ranlinkid%3d4-10001019%26browserdefault%3dtrue&siteid=ndqa3okziiq-wiomqqfd2qafsu4csg5kjg,1/2/2017 3:28,0,7,0,0,0,0,0,0
http://www.sephora.com/,1/2/2017 3:28,0,7,0,0,0,0,0,0
http://www.imdb.com/name/nm0692013/?ref_=ttfc_fc_cl_t32,1/1/2017 6:25,0,7,0,0,0,0,0,0
http://www.imdb.com/title/tt1844624/fullcredits?ref_=tt_cl_sm#cast,1/1/2017 6:25,0,7,0,0,0,0,0,0
http://www.imdb.com/title/tt1844624/?ref_=nv_sr_1,1/1/2017 6:25,0,7,0,0,0,0,0,0
http://www.imdb.com/title/tt2294189/,1/1/2017 6:25,0,7,0,0,0,0,0,0
http://www.sephora.com/amuse-bouche-lipstick-p405057?skuid=1796648,1/1/2017 2:41,1,6,0,0,0,0,0,0
http://www.sephora.com/amuse-bouche-lipstick-p405057?skuid=1796622,1/1/2017 1:54,1,6,0,0,0,0,0,0
http://www.sephora.com/opal-creme-lipstick-p398401?keyword=bite%20beauty%20opal%20cr%c3%a8me%20lipstick%20p398401&skuid=1718733&_requestid=575742,1/1/2017 1:54,1,6,0,0,0,0,0,0
http://www.sephora.com/big-sexy-bold-gel-lipstick-p398927?keyword=buxom%20big%20%26%20sexy%e2%84%a2%20bold%20gel%20lipstick%20p398927&skuid=1740083&_requestid=575533,1/1/2017 1:53,1,6,0,0,0,0,0,0
http://www.sephora.com/,1/1/2017 1:53,1,6,0,0,0,0,0,0
http://www.sephora.com/,1/1/2017 1:53,1,6,0,0,0,0,0,0
http://www.temptalia.com/urban-decay-criminal-rejected-wrong-number-sheer-liar-ravenswood-vice-lipsticks-reviews-photos-swatches/,12/31/2016 19:11,1,6,0,0,0,0,0,1
http://www.temptalia.com/product/urban-decay-revolution-lipstick/liar/,12/31/2016 19:11,1,6,0,0,0,0,0,1
http://www.temptalia.com/urban-decay-criminal-rejected-wrong-number-sheer-liar-ravenswood-vice-lipsticks-reviews-photos-swatches/,12/31/2016 19:11,1,6,0,0,0,0,0,1
http://www.temptalia.com/product/urban-decay-revolution-lipstick/liar/,12/31/2016 19:11,1,6,0,0,0,0,0,1
http://www.temptalia.com/urban-decay-criminal-rejected-wrong-number-sheer-liar-ravenswood-vice-lipsticks-reviews-photos-swatches/,12/31/2016 19:10,1,6,0,0,0,0,0,1
http://www.temptalia.com/urban-decay-criminal-rejected-wrong-number-sheer-liar-ravenswood-vice-lipsticks-reviews-photos-swatches/,12/31/2016 19:09,1,6,0,0,0,0,0,1
http://www.temptalia.com/product/urban-decay-revolution-lipstick/liar/,12/31/2016 19:08,1,6,0,0,0,0,0,1
http://www.temptalia.com/urban-decay-criminal-rejected-wrong-number-sheer-liar-ravenswood-vice-lipsticks-reviews-photos-swatches/,12/31/2016 19:08,1,6,0,0,0,0,0,1
http://www.temptalia.com/product/urban-decay-revolution-lipstick/liar/,12/31/2016 19:08,1,6,0,0,0,0,0,1
http://www.temptalia.com/urban-decay-criminal-rejected-wrong-number-sheer-liar-ravenswood-vice-lipsticks-reviews-photos-swatches/,12/31/2016 19:07,1,6,0,0,0,0,0,1
http://www.temptalia.com/urban-decay-criminal-rejected-wrong-number-sheer-liar-ravenswood-vice-lipsticks-reviews-photos-swatches/,12/31/2016 19:04,1,6,0,0,0,0,0,1
http://www.sephora.com/sugar-lip-treatment-spf-15-p57002?keyword=fresh%20sugar%20lip%20treatment%20sunscreen%20spf%2015%20p57002&skuid=1190529&_requestid=500330,12/30/2016 22:24,2,5,0,0,0,0,0,0
http://www.sephora.com/sugar-lip-treatment-spf-15-p57002?keyword=fresh%20sugar%20lip%20treatment%20sunscreen%20spf%2015%20p57002&skuid=683847&_requestid=500330,12/30/2016 22:23,2,5,0,0,0,0,0,0
http://www.sephora.com/,12/30/2016 22:22,2,5,0,0,0,0,0,0
http://www.sephora.com/,12/30/2016 22:22,2,5,0,0,0,0,0,0
https://www.buzzfeed.com/ariannarebolini/long-lasting-lipsticks-and-found-which-ones-actually-last?utm_term=.dyqakdapv4#.qopnr8nva9,12/30/2016 21:43,2,5,0,0,0,0,0,1
http://www.sephora.com/lipstick?ref=100006%2c100051%2c9010004&sortby=p_rating%3a1%3a%3ap_prod_name%3a0%3a%3ap_default_sku%3a1,12/30/2016 21:38,2,5,0,0,0,0,0,0
http://www.sephora.com/lipstick?ref=100006%2c100051%2c9010004&sortby=p_rating%3a1%3a%3ap_prod_name%3a0%3a%3ap_default_sku%3a1,12/30/2016 21:37,2,5,0,0,0,0,0,0
http://www.sephora.com/lipstick?ref=100006%2c100051%2c9010004&sortby=p_rating%3a1%3a%3ap_prod_name%3a0%3a%3ap_default_sku%3a1,12/30/2016 21:33,2,5,0,0,0,0,0,0
